stationSlug	stationName	programId	title	sequenceIndex	estimatedStartOffsetSeconds	durationSeconds	audioUrl	streamUrl	rightsStatus	releaseAllowed
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-50efcdb2-3927-4d22-9dff-23ab30048e3e	मेट्रो डिब्बा मोबाइल	90	20901	274	/radio-html/assets/audio/50efcdb2-3927-4d22-9dff-23ab30048e3e.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-bbdbe9f0-9175-4132-989e-36fbc9b6ea40	Animatrix Loading (Remastered)	91	21175	273	/radio-html/assets/audio/bbdbe9f0-9175-4132-989e-36fbc9b6ea40.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-f4537e0d-1ee4-43aa-886c-096606a8877f	Animatrix Loading (Remastered)	92	21448	273	/radio-html/assets/audio/f4537e0d-1ee4-43aa-886c-096606a8877f.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-55ff3fb9-78dd-47aa-954e-b679fb027780	Sanatan Data (Woodwinds)	93	21721	259	/radio-html/assets/audio/55ff3fb9-78dd-47aa-954e-b679fb027780.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-6733d2a3-417b-48bc-860b-da829db4aea6	Sanatan Data (Brass)	94	21980	259	/radio-html/assets/audio/6733d2a3-417b-48bc-860b-da829db4aea6.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-750b55e5-c14a-4830-b809-46c5c268bb10	Sanatan Data (FX)	95	22239	259	/radio-html/assets/audio/750b55e5-c14a-4830-b809-46c5c268bb10.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-df9decba-6d7a-4b41-b934-ece15438bc04	Sanatan Data (Synth)	96	22498	259	/radio-html/assets/audio/df9decba-6d7a-4b41-b934-ece15438bc04.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-4038805a-13f2-4ea4-8ebc-0aaf8b8d4a63	Sanatan Data (Strings)	97	22757	259	/radio-html/assets/audio/4038805a-13f2-4ea4-8ebc-0aaf8b8d4a63.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-5b28d996-b797-44fd-84e6-91260239f99a	Sanatan Data (Percussion)	98	23016	259	/radio-html/assets/audio/5b28d996-b797-44fd-84e6-91260239f99a.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-d52c5488-160e-4898-95b6-9aba85fc57b1	Sanatan Data (Keyboard)	99	23275	259	/radio-html/assets/audio/d52c5488-160e-4898-95b6-9aba85fc57b1.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-06022320-56b7-4569-93f1-46ff24219ab6	Sanatan Data (Guitar)	100	23534	259	/radio-html/assets/audio/06022320-56b7-4569-93f1-46ff24219ab6.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-b6eefd3b-f41e-41d8-9e90-857f3d92e322	Sanatan Data (Bass)	101	23793	259	/radio-html/assets/audio/b6eefd3b-f41e-41d8-9e90-857f3d92e322.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-fcb87d9a-652c-460e-bc96-12071b018834	Sanatan Data (Drums)	102	24052	259	/radio-html/assets/audio/fcb87d9a-652c-460e-bc96-12071b018834.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-2df22d4b-e5ef-452e-9aae-60e2c60cfbb4	Sanatan Data (Backing Vocals)	103	24311	259	/radio-html/assets/audio/2df22d4b-e5ef-452e-9aae-60e2c60cfbb4.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-fad79731-3877-425f-a565-dc7a091f1209	Sanatan Data (Vocals)	104	24570	259	/radio-html/assets/audio/fad79731-3877-425f-a565-dc7a091f1209.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-bff7af57-604d-4eb1-8620-88141375f222	Sanatan Data (Woodwinds)	105	24829	259	/radio-html/assets/audio/bff7af57-604d-4eb1-8620-88141375f222.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-92163cc3-c08b-4c75-94ac-496254f1f521	Sanatan Data (Brass)	106	25088	259	/radio-html/assets/audio/92163cc3-c08b-4c75-94ac-496254f1f521.mp3	NULL	NULL	false
